Country,Code,Year,LifeExpectancy_LR,AirPollution,AlcoholConsumption,TempAnnualMean,Temp5YrSmooth,Adult Mortality_LR,infant deaths_LR,Alcohol_LR,percentage expenditure_LR,Hepatitis B_LR,Measles_LR,BMI_LR,under-five deaths_LR,Polio_LR,Total expenditure_LR,Diphtheria_LR,HIV/AIDS_LR,GDP_LR,Population_LR,thinness  1-19 years_LR,thinness 5-9 years_LR,Income composition of resources_LR,Schooling_LR,Mortality Rate under 5,TB_Cases_per_100k,Mean years of schooling,Share of Population Using Clean Cooking Fuels (%),Infant Mortality Rate – Total (per 100 births),Population Using Safe Water (%),Sterberate Alkohol,Sterberate Drogen,Primary energy consumption
China,CHN,2000,72.2885,50.299193183916,3.62,19.46412393162393,19.46826617826618,115.0,490.0,3.06,17.46057369,6.0,71093.0,2.5,608.0,86.0,4.6,85.0,0.1,959.372181,1262645.0,5.9,5.1,0.583,9.5,36.7,107.0,7.79,40.4,2.9945574,64.71782099599137,1.0272139647379794,3.3157292949558554,11800.283
Colombia,COL,2000,70.905,25.3637180153758,5.34,24.48,24.86,167.0,18.0,4.66,477.1341814,78.0,1.0,46.7,21.0,82.0,5.91,79.0,0.1,2472.197831,443958.0,2.6,2.3,0.65,11.3,25.1,37.0,7.12,77.9,2.1194787,68.549515,0.2437011177695625,0.509292244321896,314.18436
Comoros,COM,2000,58.9407,12.1137641535542,0.16,23.51,23.57,272.0,1.0,0.09,35.02948624,83.86914997675701,0.0,17.3,2.0,7.0,3.56,7.0,0.1,375.8528566,542357.0,7.9,7.9,0.0,8.2,79.6,39.0,8.577655464699909,0.5,6.965992,64.71782099599137,1.0684058324315278,1.6632716117317266,0.43837464
Costa Rica,CRI,2000,77.3175,21.3843731146703,4.61,24.4,24.71,98.0,1.0,4.34,94.17819458,89.0,0.0,45.4,1.0,8.0,7.12,88.0,0.1,388.363689,3925443.0,2.4,2.3,0.702,11.6,13.1,18.0,7.96,88.8,1.1108221,76.406235,1.343896624531534,1.7050723487560528,42.57457
Cote d'Ivoire,CIV,2000,51.3927,52.7912923813154,4.21,26.58,26.75,461.0,67.0,3.45,0.0,83.86914997675701,5729.0,19.4,95.0,66.0,6.0,65.0,7.1,8307.809811306384,13456563.520530397,8.1,8.1,0.6598513368983958,12.4773440285205,140.5,367.0,8.577655464699909,17.0,9.428607,23.086655,1.0893799320092024,1.107147791173276,36.75879
Croatia,HRV,2000,74.0014,22.6073432457522,10.94,12.57,11.82,127.0,0.0,12.73,649.3909871,83.86914997675701,9.0,54.7,0.0,94.0,7.66,93.0,0.1,4919.62869,4426.0,2.1,2.1,0.739,12.2,8.3,41.0,7.790555555555557,100.0,0.7172449,85.11641,5.29809796097206,6.6862528457773065,96.54981
Cuba,CUB,2000,75.9224,21.3974205669767,5.43,25.49,25.72,115.0,1.0,3.92,49.34007756,98.0,0.0,49.4,1.0,98.0,6.7,95.0,0.1,2741.11542,13456563.520530397,3.6,3.4,0.679,12.1,8.6,12.0,9.88,71.4,0.6857012,64.71782099599137,3.189213173089513,3.3460274802483747,109.76964
Cyprus,CYP,2000,77.9,20.3070328790346,8.86,18.52,18.97,7.0,0.0,9.56,950.8027925,89.0,0.0,52.8,0.0,97.0,5.77,97.0,0.1,14672.8826,943286.0,0.9,1.0,0.798,12.5,6.6,4.0,10.82,100.0,0.56134015,95.85307,0.7988395412538699,2.107046981910385,30.261103
Denmark,DNK,2000,76.8152,15.647778890228,11.69,9.35,8.71,12.0,0.0,11.69,508.7496912,83.86914997675701,14.0,52.2,0.0,97.0,8.7,97.0,0.1,3743.55917,5339616.0,1.3,1.0,0.86,16.5,5.6,13.0,11.5,100.0,0.46844214,94.021545,11.960144565495256,16.056040548146886,236.5194
Djibouti,DJI,2000,56.7341,42.9159218505288,0.65,28.27,28.45,325.0,2.0,1.34,91.95075901,83.86914997675701,183.0,28.2,2.0,46.0,5.75,46.0,4.1,768.176767,717584.0,6.4,6.1,0.361,2.9,99.5,669.0,8.577655464699909,3.9,7.89624,64.71782099599137,1.2772415826695869,1.9996432872633425,3.533749
Dominican Republic,DOM,2000,70.3647,19.0738112994015,7.91,24.34,24.6,176.0,7.0,6.58,44.79247812,68.0,253.0,43.1,9.0,71.0,5.9,78.0,2.5,282.4242,8562622.0,3.8,3.7,0.651,12.2,39.8,78.0,7.03,83.3,3.2313766,41.959072,0.9264418455174552,1.0189873190692282,86.21111
East Timor,TLS,2000,58.0969,21.0626735881027,0.55,24.21,24.56,276.0,3.0,0.5,49.06967155,83.86914997675701,0.0,11.9,4.0,83.95762416646669,3.26,84.4113716092838,0.1,422.28633,87167.0,12.2,12.2,0.0,0.0,110.5,137.50734682405846,8.577655464699909,1.2,8.730478,64.71782099599137,0.3892725363043848,0.4776985345630808,789.5606108685627
Ecuador,ECU,2000,72.0896,43.2126751514231,4.17,20.84,21.25,163.0,9.0,3.99,84.17527008,36.0,0.0,43.6,11.0,83.0,3.38,87.0,0.3,1451.29776,12628596.0,1.6,1.5,0.668,12.4,29.6,68.0,7.41,88.0,2.4617958,58.20305,3.788572269928604,4.081047958091459,104.128815
Egypt,EGY,2000,67.3323,59.9928979498542,0.14,22.36,22.95,171.0,65.0,0.14,0.0,98.0,2633.0,5.7,82.0,98.0,5.55,98.0,0.1,8307.809811306384,13456563.520530397,3.6,3.5,0.606,11.0,46.6,26.0,6.3,82.8,3.7199833,64.71782099599137,0.0744485619421933,0.1230966233531123,568.53345
El Salvador,SLV,2000,67.7114,32.8863851082494,3.14,19.46412393162393,19.46826617826618,218.0,4.0,2.79,353.6690328,99.0,0.0,45.3,5.0,98.0,8.17,99.0,0.4,2238.4116,5867626.0,2.1,2.0,0.607,11.3,32.3,31.0,7.04,57.9,2.725718,64.71782099599137,15.045662666848516,15.583974775035404,29.402664
Equatorial Guinea,GNQ,2000,53.3952,36.2092084679716,7.75,19.46412393162393,19.46826617826618,336.0,3.0,4.46,14.95451321,83.86914997675701,0.0,18.3,4.0,41.0,2.73,34.0,1.9,172.68491,614323.0,1.7,1.6,0.0,0.0,155.9,187.0,8.577655464699909,18.5,10.685864,64.71782099599137,0.8973155733191959,1.1201698692135986,3.2545538
Eritrea,ERI,2000,56.2852,43.5875022656422,1.0,26.44,26.62,593.0,7.0,0.83,0.735940361,83.86914997675701,789.0,12.6,10.0,82.0,4.43,81.0,1.9,28.1969487,339281.0,1.2,1.1,0.0,3.9,85.3,177.0,8.577655464699909,3.5,5.6307726,64.71782099599137,1.3943787336429714,1.930461195252416,2.5992396
Estonia,EST,2000,71.0142,11.8151297405178,10.45,7.07,6.15,218.0,0.0,0.01,5.34809451,83.86914997675701,9.0,54.0,0.0,93.0,5.28,93.0,0.1,47.32827,1396985.0,2.5,2.5,0.764,14.4,11.0,65.0,7.790555555555557,100.0,0.8705406,91.68188,23.13463088651997,27.8345267422283,55.49626
Eswatini,SWZ,2000,47.6273,23.5235005768566,9.43,19.74,20.24,536.0,3.0,7.19,25.21683318,83.0,10.0,25.9,4.0,87.0,5.26,84.0,46.4,1637.4567,161468.0,9.4,9.6,0.516,9.4,109.1,981.0,4.62,24.6,6.8974066,64.71782099599137,0.9532473934903972,1.3146498819338766,6.2694864
Ethiopia,ETH,2000,50.8802,27.3299911491215,1.2,23.15,23.3,391.0,253.0,0.88,11.59481766,83.86914997675701,1660.0,12.3,404.0,55.0,4.36,3.0,5.0,123.876257,66537331.0,11.9,11.8,0.0,3.9,140.4,421.0,8.577655464699909,0.9,8.742111,5.043846,1.006969942500238,1.165348272359486,19.304592
Fiji,FJI,2000,66.1937,13.1254459525217,2.41,24.81,24.72,221.0,0.0,2.05,31.25834616,98.0,0.0,5.2,0.0,91.0,3.87,9.0,0.1,276.1338,811223.0,4.3,4.0,0.681,13.1,22.7,22.0,9.97,28.5,1.9260752,39.23305,0.1044258914574004,0.3196229015272062,7.7498546
Finland,FIN,2000,77.6713,8.00512199497353,10.0,3.27,2.12,15.0,0.0,8.59,397.7533689,83.86914997675701,0.0,55.5,0.0,96.0,7.22,99.0,0.1,24253.2542,517629.0,0.9,0.9,0.847,17.3,4.3,12.0,9.9,100.0,0.3510409,93.81033,13.424383782704052,17.214690550261707,359.1098
France,FRA,2000,79.0438,16.0892961813444,13.72,11.85,11.68,13.0,3.0,13.63,3410.284431,26.0,10000.0,54.6,4.0,98.0,9.77,97.0,0.1,22465.64184,6912498.0,0.7,0.6,0.844,15.7,5.4,13.0,10.22,100.0,0.4086309,97.35588,5.947347515696689,7.525688300129246,3117.9092
Gabon,GAB,2000,61.8098,28.0134232039907,9.64,24.96,25.15,296.0,2.0,8.87,218.1727473,83.86914997675701,15.0,28.1,3.0,44.0,2.89,45.0,9.5,4116.46693,1231122.0,8.0,7.8,0.637,12.2,73.7,515.0,7.790555555555557,64.4,5.357797,64.71782099599137,1.5203029947106417,1.9039942295045236,11.477413
Georgia,GEO,2000,70.0909,15.6475442783829,10.57,8.92,9.15,129.0,2.0,3.28,47.81704183,55.0,50.0,46.0,2.0,81.0,6.94,8.0,0.1,691.997711,44183.0,3.1,3.1,0.0,11.4,36.3,254.0,8.577655464699909,47.0,3.171616,64.11659,1.57590890248262,1.8706156876744695,40.19375
Germany,DEU,2000,78.0563,18.149579025919,13.82,10.09,9.49,95.0,3.0,12.91,4238.540035,84.0,0.0,55.1,4.0,94.0,1.1,9.0,0.1,23718.7467,8221158.0,1.2,1.2,0.855,16.2,5.4,12.0,10.59,100.0,0.43823653,99.8429,7.31281150240392,9.20672814248362,3988.179
Ghana,GHA,2000,58.1392,63.1064681783884,5.32,27.5,27.58,38.0,43.0,1.6,20.65432873,83.86914997675701,23068.0,19.5,65.0,88.0,3.0,88.0,3.6,263.1124679,18938762.0,9.2,9.2,0.48,7.7,100.2,216.0,6.67,6.3,6.450982,12.096288,1.0189763843500903,1.0359623671905314,41.627354
Greece,GRC,2000,78.442,24.3887788903302,8.73,14.36,14.28,84.0,1.0,8.48,122.1823517,89.0,56.0,57.4,1.0,89.0,7.6,89.0,0.1,1242.95373,18588.0,0.9,0.8,0.794,13.9,6.4,7.3,9.9,100.0,0.5513054,99.15239,0.3309348234995757,2.936369159169606,373.0521
Grenada,GRD,2000,72.9547,24.0288265178508,7.69,26.05,26.46,182.0,0.0,9.4,676.5453878,83.86914997675701,0.0,37.7,0.0,97.0,6.62,97.0,0.1,5117.589923,13456563.520530397,4.3,4.2,0.0,14.1,15.5,0.0,8.577655464699909,92.5,1.3002325,78.71873,2.5146823290290143,3.4548248785778424,0.8628608
Guatemala,GTM,2000,67.1018,37.474592031175,2.41,23.27,23.52,221.0,17.0,2.63,238.7369808,83.86914997675701,0.0,4.4,21.0,8.0,5.25,81.0,0.2,1655.596261,1165743.0,1.6,1.6,0.539,8.2,52.1,31.0,4.35,40.7,4.098243,46.81889,10.66195567361669,11.647482359950343,47.63064
Guinea,GIN,2000,52.4197,46.528445919947,0.29,25.51,25.78,328.0,37.0,0.17,2.215986136,83.86914997675701,11294.0,16.6,60.0,47.0,3.46,46.0,3.0,34.516918,888546.0,1.3,1.3,0.316,4.8,165.4,228.0,8.577655464699909,0.7,10.063249,64.71782099599137,0.8038039948303279,0.8245718836549162,7.7802587
Guinea-Bissau,GNB,2000,50.5646,55.3089810391368,4.15,27.64,27.95,3.0,5.0,2.84,6.699418747,83.86914997675701,0.0,17.4,9.0,52.0,4.94,49.0,3.1,297.7519443,1243229.0,1.2,1.2,0.0,6.4,173.8,305.0,8.577655464699909,1.4,10.479618,17.774654,1.0939819808340985,1.11148670126072,0.996814
Guyana,GUY,2000,64.0748,28.0653087700277,5.38,25.96,26.13,246.0,1.0,6.63,16.75480888,83.86914997675701,0.0,35.7,1.0,79.0,5.85,88.0,1.1,946.599372,75331.0,5.9,5.8,0.602,10.9,46.5,69.0,8.43,35.3,3.7084403,64.71782099599137,2.328518640648148,2.486087118880702,6.9311028
Haiti,HTI,2000,58.1749,20.2385408971379,4.14,24.74,25.01,35.0,20.0,4.79,74.46033036,83.86914997675701,992.0,34.0,28.0,5.0,6.6,41.0,5.1,462.486524,85492.0,4.8,4.8,0.439,7.8,103.5,270.0,4.44,2.5,7.4160514,64.71782099599137,2.5362241834462207,2.7718060144996737,6.989819
Honduras,HND,2000,68.3018,31.2179492340652,3.09,24.31,24.59,174.0,6.0,2.61,28.80831098,93.0,0.0,38.8,8.0,88.0,6.63,94.0,1.7,188.783165,6524283.0,2.8,2.7,0.551,9.8,37.3,122.0,5.87,30.3,3.0495925,41.601418,3.1005717585536217,3.800750779417212,24.346216
Hungary,HUN,2000,71.7581,20.6558178895561,12.38,12.14,11.24,193.0,1.0,12.22,75.36251406,83.86914997675701,1.0,56.1,1.0,99.0,7.6,99.0,0.1,4623.46712,121971.0,2.3,2.3,0.761,13.9,10.1,35.0,11.57,100.0,0.86560285,86.63125,6.894215489690797,7.3207297580230595,280.8023
Iceland,ISL,2000,79.5485,7.40415684416645,6.92,1.55,1.73,74.0,0.0,6.17,5809.12199,83.86914997675701,0.0,54.2,0.0,98.0,9.28,98.0,0.1,31813.37344,28125.0,1.0,0.9,0.847,16.8,4.0,5.3,10.17,100.0,0.31712613,90.15561,2.301251143415085,5.326267921414449,33.229614
India,IND,2000,62.7492,61.511449777005,1.97,19.46412393162393,19.46826617826618,224.0,1800.0,0.93,19.26615743,83.86914997675701,38835.0,11.4,2500.0,57.0,4.26,58.0,0.3,438.864634,1535912.0,27.7,28.6,0.489,8.3,91.6,322.0,5.3,22.1,6.6447496,64.71782099599137,1.358622487401003,1.870106584114604,3725.401
Indonesia,IDN,2000,66.2919,26.2052017856205,0.083,25.87,25.97,188.0,187.0,0.06,3.43334364,65.0,3344.0,15.4,237.0,72.0,1.98,75.0,0.1,78.92744,21154429.0,11.0,11.2,0.597,10.7,51.9,370.0,5.41,6.7,4.0912075,23.541845,0.0874044995425406,0.176433696985441,1163.5176
Iran,IRN,2000,70.1665,36.4770997798349,0.021,18.43,18.6,15.0,35.0,0.01,0.0,99.0,11874.0,44.9,43.0,99.0,4.47,99.0,0.1,8307.809811306384,13456563.520530397,7.8,7.9,0.66,11.6,36.3,23.0,7.66,92.9,2.9781623,90.34097,0.2022989341314803,4.0403896908664025,1396.5679
Iraq,IRQ,2000,64.8603,42.0322556879507,0.19,22.88,23.08,144.0,30.0,0.2,0.0,67.0,726.0,49.5,37.0,83.0,6.065043092953979,8.0,0.1,8307.809811306384,23565413.0,5.6,5.4,0.603,8.6,44.3,50.0,6.23,70.5,3.5567925,50.240936,0.0032488150682609,1.246566878991595,322.66235
Ireland,IRL,2000,76.535,12.5487773722991,15.03,19.46412393162393,19.46826617826618,94.0,0.0,14.07,3794.581463,83.86914997675701,0.0,51.5,0.0,86.0,6.3,86.0,0.1,26241.91883,385174.0,0.3,0.3,0.848,16.2,7.2,12.0,11.03,100.0,0.59781516,64.429375,2.1525622462594267,5.325113201374725,173.34885
Israel,ISR,2000,79.1797,25.3125485744393,2.93,19.29,19.91,76.0,1.0,2.53,199.9341033,98.0,36.0,58.3,1.0,93.0,7.13,93.0,0.1,2152.1432,6289.0,1.1,1.1,0.845,15.2,6.9,10.0,7.790555555555557,100.0,0.56101584,99.77199,1.2408169015259929,2.681622159644184,227.37114
Italy,ITA,2000,79.607,26.2472831488489,9.95,13.34,13.18,77.0,3.0,9.78,31.50582204,94.0,1457.0,55.0,3.0,97.0,7.91,87.0,0.1,251.2426,5694218.0,0.5,0.5,0.823,14.8,5.6,7.1,9.73,100.0,0.47308296,94.76838,0.4168621072913728,1.89604793795049,2099.2852
Jamaica,JAM,2000,71.2814,15.7509748541016,3.34,25.68,25.95,171.0,1.0,3.46,24.82762854,83.86914997675701,0.0,41.6,1.0,95.0,5.81,93.0,2.2,336.8742,2656864.0,2.0,1.9,0.682,11.4,20.6,6.0,9.59,74.7,1.7510036,64.71782099599137,0.3521099223126607,0.5744293286271202,43.211422
